eta,beta1,beta2,A,sMin,Nfirm
0.218750,3.000000,8.687500,2.000000,0.002575,328.750000
0.043750,1.500000,9.125000,2.900000,0.000100,116.250000
0.087500,1.875000,3.437500,1.400000,0.006288,286.250000
0.131250,2.250000,5.187500,5.000000,0.005669,52.500000
0.525000,2.875000,6.062500,0.800000,0.003194,10.000000
0.700000,1.625000,5.625000,4.100000,0.000719,265.000000
0.437500,1.375000,10.000000,1.700000,0.008762,158.750000
0.393750,2.750000,8.250000,4.700000,0.008144,222.500000
0.350000,2.000000,6.500000,2.600000,0.005050,180.000000
0.481250,1.000000,4.312500,3.200000,0.007525,31.250000
0.656250,2.500000,3.875000,2.300000,0.010000,243.750000
0.612500,2.125000,9.562500,3.800000,0.003813,73.750000
0.568750,1.750000,7.812500,0.200000,0.004431,307.500000
0.175000,1.125000,6.937500,4.400000,0.006906,350.000000
0.000000,2.375000,7.375000,1.100000,0.009381,95.000000
0.262500,2.625000,3.000000,3.500000,0.001338,201.250000
0.306250,1.250000,4.750000,0.500000,0.001956,137.500000
0.568750,2.125000,4.750000,4.700000,0.003194,350.000000
0.612500,2.250000,3.000000,1.700000,0.000719,95.000000
0.043750,3.000000,7.375000,4.100000,0.001338,158.750000
0.218750,2.500000,6.937500,0.800000,0.001956,222.500000
0.306250,2.625000,5.187500,0.200000,0.007525,328.750000
0.262500,2.750000,3.437500,3.800000,0.010000,116.250000
0.700000,2.875000,9.125000,2.300000,0.006288,73.750000
0.525000,2.375000,8.687500,3.200000,0.005669,307.500000
0.131250,1.875000,8.250000,0.500000,0.006906,10.000000
0.087500,1.750000,10.000000,3.500000,0.009381,265.000000
0.656250,1.000000,5.625000,1.100000,0.008762,201.250000
0.481250,1.500000,6.062500,4.400000,0.008144,137.500000
0.393750,1.375000,7.812500,5.000000,0.002575,31.250000
0.437500,1.250000,9.562500,1.400000,0.000100,243.750000
0.000000,1.125000,3.875000,2.900000,0.003813,286.250000
0.175000,1.625000,4.312500,2.000000,0.004431,52.500000
